A	(A)[N]
Widernatuerlichkeit	(((wider)[P],((Natur)[N],(lich)[A|N.])[A])[A],(keit)[N|A.])[N]
widerraten	((wider)[P],(rat)[V])[V]
widerrechtlich	((wider)[P],(((recht)[A])[N],(lich)[A|N.])[A])[A]
Widerrechtlichkeit	(((wider)[P],(((recht)[A])[N],(lich)[A|N.])[A])[A],(keit)[N|A.])[N]
widerreden	((wider)[P],(red)[V])[V]
Widerrede	(((wider)[P],(red)[V])[V],(e)[N|V.])[N]
widerrufen	((wider)[P],(ruf)[V])[V]
Widerruf	(((wider)[P],(ruf)[V])[V])[N]
widerruflich	(((wider)[P],(ruf)[V])[V],(lich)[A|V.])[A]
Widerruflichkeit	((((wider)[P],(ruf)[V])[V],(lich)[A|V.])[A],(keit)[N|A.])[N]
Widerrufung	(((wider)[P],(ruf)[V])[V],(ung)[N|V.])[N]
Widersacher	((wider)[P],(Sache)[N],(er)[N|PN.])[N]
widerschallen	((wider)[P],((Schall)[N])[V])[V]
widerscheinen	((wider)[P],(schein)[V])[V]
Widerschein	(((wider)[P],(schein)[V])[V])[N]
widersetzen	((wider)[P],(setz)[V])[V]
widersetzlich	(((wider)[P],(setz)[V])[V],(lich)[A|V.])[A]
Widersinn	((wider)[P],(Sinn)[N])[N]
widersinnig	(((wider)[P],(Sinn)[N])[N],(ig)[A|N.])[A]
widerspenstig	(widerspenstig)[A]
Widerspenstigkeit	((widerspenstig)[A],(keit)[N|A.])[N]
widerspiegeln	((wider)[P],((Spiegel)[N])[V])[V]
Widerspiegelung	(((wider)[P],((Spiegel)[N])[V])[V],(ung)[N|V.])[N]
Widerspiel	((wider)[P],(Spiel)[N])[N]
widersprechen	((wider)[P],(sprech)[V])[V]
Widerspruch	(((wider)[P],(sprech)[V])[V])[N]
widerspruechlich	((((wider)[P],(sprech)[V])[V])[N],(lich)[A|N.])[A]
Widerspruechlichkeit	(((((wider)[P],(sprech)[V])[V])[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
Widerspruchsgeist	((((wider)[P],(sprech)[V])[V])[N],(s)[N|N.N],(Geist)[N])[N]
widerspruchslos	((((wider)[P],(sprech)[V])[V])[N],(s)[A|N.x],(los)[A|Nx.])[A]
widerspruchsvoll	((((wider)[P],(sprech)[V])[V])[N],(s)[A|N.A],(voll)[A])[A]
Widerstand	(((wider)[P],(steh)[V])[V])[N]
Widerstandsbewegung	((((wider)[P],(steh)[V])[V])[N],(s)[N|N.N],((beweg)[V],(ung)[N|V.])[N])[N]
widerstandsfaehig	((((wider)[P],(steh)[V])[V])[N],(s)[A|N.A],(faehig)[A])[A]
Widerstandsfaehigkeit	(((((wider)[P],(steh)[V])[V])[N],(s)[A|N.A],(faehig)[A])[A],(keit)[N|A.])[N]
Widerstandskaempfer	((((wider)[P],(steh)[V])[V])[N],(s)[N|N.N],((kaempf)[V],(er)[N|V.])[N])[N]
Widerstandskraft	((((wider)[P],(steh)[V])[V])[N],(s)[N|N.N],(Kraft)[N])[N]
widerstandslos	((((wider)[P],(steh)[V])[V])[N],(s)[A|N.x],(los)[A|Nx.])[A]
Widerstandslosigkeit	(((((wider)[P],(steh)[V])[V])[N],(s)[A|N.x],(los)[A|Nx.])[A],(ig)[N|A.x],(keit)[N|Ax.])[N]
Widerstandswille	((((wider)[P],(steh)[V])[V])[N],(s)[N|N.N],((woll)[V])[N])[N]
widerstehen	((wider)[P],(steh)[V])[V]
widerstrahlen	((wider)[P],((Strahl)[N])[V])[V]
Widerstrahl	(((wider)[P],((Strahl)[N])[V])[V])[N]
widerstreben	((wider)[P],(streb)[V])[V]
Widerstreben	((widerstreben)[F])[N]
widerstrebend	((widerstrebend)[F])[A]
widerstreiten	((wider)[P],(streit)[V])[V]
Widerstreit	(((wider)[P],(streit)[V])[V])[N]
widerwaertig	(widerwaertig)[A]
Widerwaertigkeit	((widerwaertig)[A],(keit)[N|A.])[N]
Widerwille	((wider)[P],((woll)[V])[N])[N]
widerwillig	((wider)[P],(((woll)[V])[N],(ig)[A|N.])[A])[A]
widmen	(widm)[V]
Widmung	((widm)[V],(ung)[N|V.])[N]
widrig	(widrig)[A]
wie	(wie)[B]
wie	(wie)[C]
Wiedehopf	(Wiedehopf)[N]
wieder	(wieder)[B]
Wiederabdruck	((wieder)[B],(((ab)[V|.V],(druck)[V])[V])[N])[N]
wiederaufbauen	((wieder)[B],((auf)[V|.V],(bau)[V])[V])[V]
Wiederaufbau	(((wieder)[B],((auf)[V|.V],(bau)[V])[V])[V])[N]
Wiederauffuehrung	((wieder)[B],(((auf)[V|.V],(fuehr)[V])[V],(ung)[N|V.])[N])[N]
wiederaufheben	((wieder)[B],((auf)[V|.V],(heb)[V])[V])[V]
Wiederaufnahme	(((wieder)[B],((auf)[V|.V],(nehm)[V])[V])[V])[N]
Wiederaufnahmeverfahren	((((wieder)[B],((auf)[V|.V],(nehm)[V])[V])[V])[N],((verfahren)[F])[N])[N]
wiederaufnehmen	((wieder)[B],((auf)[V|.V],(nehm)[V])[V])[V]
wiederaufrichten	((wieder)[B],((auf)[V|.V],(richt)[V])[V])[V]
Wiederaufrichtung	(((wieder)[B],((auf)[V|.V],(richt)[V])[V])[V],(ung)[N|V.])[N]
wiederaufsuchen	((wieder)[B],((auf)[V|.V],(such)[V])[V])[V]
wiederauftauchen	((wieder)[B],((auf)[V|.V],(tauch)[V])[V])[V]
Wiederbeginn	((wieder)[B],((beginn)[V])[N])[N]
wiederbekommen	((wieder)[B],((be)[V|.V],(komm)[V])[V])[V]
wiederbeleben	((wieder)[B],((be)[V|.V],(leb)[V])[V])[V]
Wiederbelebung	(((wieder)[B],((be)[V|.V],(leb)[V])[V])[V],(ung)[N|V.])[N]
Wiederbelebungsversuch	((((wieder)[B],((be)[V|.V],(leb)[V])[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(((ver)[V|.V],(such)[V])[V])[N])[N]
wiederbringen	((wieder)[B],(bring)[V])[V]
Wiederdruck	((wieder)[B],((druck)[V])[N])[N]
wiedereinsetzen	((wieder)[B],((ein)[V|.V],(setz)[V])[V])[V]
Wiedereinsetzung	((wieder)[B],(((ein)[V|.V],(setz)[V])[V],(ung)[N|V.])[N])[N]
Wiedereintritt	((wieder)[B],((eintritt)[F])[N])[N]
Wiederentdeckung	((wieder)[B],(((ent)[V|.V],(deck)[V])[V],(ung)[N|V.])[N])[N]
wiedererhalten	((wieder)[B],((er)[V|.V],(halt)[V])[V])[V]
wiedererkennen	((wieder)[B],((er)[V|.V],(kenn)[V])[V])[V]
wiedererlangen	((wieder)[B],((er)[V|.V],((lang)[A])[V])[V])[V]
wiedererobern	((wieder)[B],(erober)[V])[V]
Wiedereroberung	(((wieder)[B],(erober)[V])[V],(ung)[N|V.])[N]
wiedereroeffnen	((wieder)[B],((er)[V|.V],((offen)[A])[V])[V])[V]
Wiedereroeffnung	(((wieder)[B],((er)[V|.V],((offen)[A])[V])[V])[V],(ung)[N|V.])[N]
wiederersetzen	((wieder)[B],((er)[V|.V],(setz)[V])[V])[V]
wiedererstatten	((wieder)[B],((er)[V|.N],(Statt)[N])[V])[V]
Wiedererstattung	(((wieder)[B],((er)[V|.N],(Statt)[N])[V])[V],(ung)[N|V.])[N]
wiedererwecken	((wieder)[B],((er)[V|.V],(weck)[V])[V])[V]
Wiedererweckung	(((wieder)[B],((er)[V|.V],(weck)[V])[V])[V],(ung)[N|V.])[N]
wiedererzaehlen	((wieder)[B],((er)[V|.V],(zaehl)[V])[V])[V]
wiederfinden	((wieder)[B],(find)[V])[V]
wiederfordern	((wieder)[B],(forder)[V])[V]
Wiedergabe	(((wieder)[B],(geb)[V])[V])[N]
wiedergeben	((wieder)[B],(geb)[V])[V]
wiedergeboren	((wieder)[B],(geboren)[A])[A]
Wiedergeburt	((wieder)[B],(Geburt)[N])[N]
wiedergewinnen	((wieder)[B],(gewinn)[V])[V]
wiedergutmachen	((wieder)[B],((gut)[A],(mach)[V])[V])[V]
Wiedergutmachung	(((wieder)[B],((gut)[A],(mach)[V])[V])[V],(ung)[N|V.])[N]
wiederhaben	((wieder)[B],(hab)[V])[V]
wiederherrichten	((wieder)[B],((her)[B],(richt)[V])[V])[V]
wiederherstellen	((wieder)[B],((her)[B],(stell)[V])[V])[V]
Wiederherstellung	(((wieder)[B],((her)[B],(stell)[V])[V])[V],(ung)[N|V.])[N]
wiederholen	((wieder)[B],(hol)[V])[V]
wiederholbar	(((wieder)[B],(hol)[V])[V],(bar)[A|V.])[A]
wiederholt	((wiederholt)[F])[A]
Wiederholung	(((wieder)[B],(hol)[V])[V],(ung)[N|V.])[N]
Wiederholungsfall	((((wieder)[B],(hol)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],((fall)[V])[N])[N]
Wiederholungszeichen	((((wieder)[B],(hol)[V])[V],(ung)[N|V.])[N],(s)[N|N.N],(Zeichen)[N])[N]
Wiederhoeren	((wieder)[B],(hoeren)[F])[N]
Wiederinbesitznahme	((wieder)[B],(Inbesitznahme)[N])[N]
Wiederinstandsetzung	((wieder)[B],(Instandsetzung)[N])[N]
wiederkaeuen	((wieder)[B],(kau)[V])[V]
Wiederkaeuer	(((wieder)[B],(kau)[V])[V],(er)[N|V.])[N]
wiederkaufen	((wieder)[B],(kauf)[V])[V]
Wiederkauf	(((wieder)[B],(kauf)[V])[V])[N]
Wiederkaufsrecht	((((wieder)[B],(kauf)[V])[V])[N],(s)[N|N.N],((recht)[A])[N])[N]
wiederkehren	((wieder)[B],(kehr)[V])[V]
Wiederkehr	(((wieder)[B],(kehr)[V])[V])[N]
wiederkommen	((wieder)[B],(komm)[V])[V]
Wiederkunft	(((wieder)[B],(komm)[V])[V])[N]
wiederschenken	((wieder)[B],(schenk)[V])[V]
wiedersehen	((wieder)[B],(seh)[V])[V]
Wiedersehen	((wiedersehen)[F])[N]
Wiedertaufe	((wieder)[B],((tauf)[V],(e)[N|V.])[N])[N]
Wiedertaeufer	(((wieder)[B],((tauf)[V],(e)[N|V.])[N])[N],(er)[N|N.])[N]
wiedertun	((wieder)[B],(tu)[V])[V]
wiederum	((wieder)[B],(um)[P])[B]
wiedervereinigen	((wieder)[B],((ver)[V|.V],(((ein)[Q],(ig)[A|Q.])[A])[V])[V])[V]
Wiedervereinigung	(((wieder)[B],((ver)[V|.V],(((ein)[Q],(ig)[A|Q.])[A])[V])[V])[V],(ung)[N|V.])[N]
wiedervergelten	((wieder)[B],((ver)[V|.V],(gelt)[V])[V])[V]
Wiederverheiratung	((wieder)[B],(((ver)[V|.V],(heirat)[V])[V],(ung)[N|V.])[N])[N]
wiederverwenden	((wieder)[B],((ver)[V|.V],(((Wind)[N])[V])[V])[V])[V]
Wiederverwendung	(((wieder)[B],((ver)[V|.V],(((Wind)[N])[V])[V])[V])[V],(ung)[N|V.])[N]
Wiedervorlage	((wieder)[B],(((vor)[P],(leg)[V])[V])[N])[N]
wiederwaehlen	((wieder)[B],(waehl)[V])[V]
Wiederwahl	(((wieder)[B],(waehl)[V])[V])[N]
wiegen	(wieg)[V]
wiegen	((Wiege)[N])[V]
Wiege	(Wiege)[N]
wiegeln	(((Wiege)[N])[V],(el)[V|V.])[V]
Wiegendruck	(Wiegendruck)[N]
Wiegenlied	((Wiege)[N],(n)[N|N.N],(Lied)[N])[N]
wiehern	(wieher)[V]
wielang	((wie)[B],(lang)[A])[A]
wielange	((wie)[B],(lange)[B])[A]
wierig	(wierig)[A]
Wiese	(Wiese)[N]
wieseln	((Wiesel)[N])[V]
Wiesel	(Wiesel)[N]
wieselflink	((Wiesel)[N],(flink)[A])[A]
Wiesengrund	((Wiese)[N],(n)[N|N.N],(Grund)[N])[N]
wieso	((wie)[B],(so)[B])[B]
wieviel	((wie)[B],(viel)[O])[B]
wievielerlei	((wie)[B],((viel)[O],(erlei)[Q|O.])[Q])[B]
wievielmal	(((wie)[B],(viel)[O])[B],(Mal)[N])[B]
wievielte	(((wie)[B],(viel)[O])[B],(te)[A|B.])[A]
wieweit	((wie)[B],(weit)[A])[B]
wiewohl	((wie)[B],(wohl)[B])[C]
wild	(wild)[A]
Wild	((wild)[A])[N]
Wildbach	((wild)[A],(Bach)[N])[N]
Wildbret	(((wild)[A])[N],(brat)[V])[N]
wilddieben	((((wild)[A])[N],(Dieb)[N])[N])[V]
Wilddieb	(((wild)[A])[N],(Dieb)[N])[N]
Wilddieberei	((((wild)[A])[N],(Dieb)[N])[N],(erei)[N|N.])[N]
Wildente	((wild)[A],(Ente)[N])[N]
wildern	(((wild)[A])[N],(er)[V|N.])[V]
Wilderei	((((wild)[A])[N],(er)[V|N.])[V],(ei)[N|V.])[N]
Wilderer	((((wild)[A])[N],(er)[V|N.])[V],(er)[N|V.])[N]
Wildfang	((wild)[A],((fang)[V])[N])[N]
wildfremd	((wild)[A],(fremd)[A])[A]
Wildgans	((wild)[A],(Gans)[N])[N]
Wildheger	(((wild)[A])[N],(Heger)[N])[N]
Wildhueter	(((wild)[A])[N],(huet)[V],(er)[N|NV.])[N]
Wildkatze	((wild)[A],(Katze)[N])[N]
Wildnis	((wild)[A],(nis)[N|A.])[N]
Wildpark	(((wild)[A])[N],(Park)[N])[N]
Wildpferd	((wild)[A],(Pferd)[N])[N]
wildreich	(((wild)[A])[N],(reich)[A|N.])[A]
Wildreichtum	(((wild)[A])[N],((reich)[A],(tum)[N|A.])[N])[N]
wildromantisch	((wild)[A],((romant)[R],(isch)[A|R.])[A])[A]
Wildsau	((wild)[A],(Sau)[N])[N]
Wildschaden	(((wild)[A])[N],(Schaden)[N])[N]
Wildschwein	((wild)[A],(Schwein)[N])[N]
wildwachsend	((wild)[A],(wachsend)[F])[A]
Wildwasser	((wild)[A],(Wasser)[N])[N]
Wildwechsel	(((wild)[A])[N],((wechsel)[V])[N])[N]
Wildwest	((wild)[A],(West)[N])[N]
Wildwestfilm	(((wild)[A],(West)[N])[N],(Film)[N])[N]
Wildwuchs	((wild)[A],((wuchs)[F])[N])[N]
wildwuechsig	(((wild)[A],((wuchs)[F])[N])[N],(ig)[A|N.])[A]
Wille	((woll)[V])[N]
willen	(((woll)[V])[N],(n)[P|N.])[P]
Willen	(((woll)[V])[N],(n)[N|N.])[N]
willenlos	(((woll)[V])[N],(n)[A|N.x],(los)[A|Nx.])[A]
Willenlosigkeit	((((woll)[V])[N],(n)[A|N.x],(los)[A|Nx.])[A],(ig)[N|A.x],(keit)[N|Ax.])[N]
Willensakt	(((woll)[V])[N],(ns)[N|N.N],(Akt)[N])[N]
Willensaeusserung	(((woll)[V])[N],(ns)[N|N.Vx],(aeusser)[V],(ung)[N|NxV.])[N]
Willensbildung	(((woll)[V])[N],(ns)[N|N.Vx],((Bild)[N])[V],(ung)[N|NxV.])[N]
Willenserklaerung	(((woll)[V])[N],(ns)[N|N.Vx],((er)[V|.V],((klar)[A])[V])[V],(ung)[N|NxV.])[N]
Willensfreiheit	(((woll)[V])[N],(ns)[N|N.N],((frei)[A],(heit)[N|A.])[N])[N]
Willenskraft	(((woll)[V])[N],(ns)[N|N.N],(Kraft)[N])[N]
willensschwach	(((woll)[V])[N],(ns)[A|N.A],(schwach)[A])[A]
Willensschwaeche	(((woll)[V])[N],(ns)[N|N.N],((schwach)[A],(e)[N|A.])[N])[N]
willensstark	(((woll)[V])[N],(ns)[A|N.A],(stark)[A])[A]
Willensstaerke	(((woll)[V])[N],(ns)[N|N.N],((stark)[A],(e)[N|A.])[N])[N]
willentlich	(((woll)[V])[N],(entlich)[A|N.])[A]
willfahren	(((woll)[V])[N],(fahr)[V])[V]
willigen	(((woll)[V])[N],(ig)[V|N.])[V]
willig	(((woll)[V])[N],(ig)[A|N.])[A]
willkommen	(willkommen)[A]
Willkommen	((willkommen)[A])[N]
Willkommensgruss	(((willkommen)[A])[N],(s)[N|N.N],(Gruss)[N])[N]
Willkommenstrunk	(((willkommen)[A])[N],(s)[N|N.N],((trink)[V])[N])[N]
Willkuer	(((woll)[V])[N],(Kuer)[N])[N]
Willkuerakt	((((woll)[V])[N],(Kuer)[N])[N],(Akt)[N])[N]
willkuerlich	((((woll)[V])[N],(Kuer)[N])[N],(lich)[A|N.])[A]
wimmeln	(wimmel)[V]
wimmern	(wimmer)[V]
Wimpel	(Wimpel)[N]
Wimper	(Wimper)[N]
Wimpertierchen	((Wimper)[N],(Tier)[N],(chen)[N|NN.])[N]
winden	((Wind)[N])[V]
Wind	(Wind)[N]
Windbeutel	((Wind)[N],(Beutel)[N])[N]
Windbeutelei	(((Wind)[N],(Beutel)[N])[N],(ei)[N|N.])[N]
Windbuechse	((Wind)[N],(Buechse)[N])[N]
Winde	(((Wind)[N])[V],(e)[N|V.])[N]
Windei	((Wind)[N],(Ei)[N])[N]
windeln	((((Wind)[N])[V],(el)[N|V.])[N])[V]
Windel	(((Wind)[N])[V],(el)[N|V.])[N]
windelweich	((((Wind)[N])[V],(el)[N|V.])[N],(weich)[A])[A]
Windeseile	((Wind)[N],(es)[N|N.N],((eil)[V],(e)[N|V.])[N])[N]
Windfang	((Wind)[N],((fang)[V])[N])[N]
windgeschuetzt	((Wind)[N],(geschuetzt)[F])[A]
Windharfe	((Wind)[N],(Harfe)[N])[N]
Windhauch	((Wind)[N],((hauch)[V])[N])[N]
Windhose	((Wind)[N],(Hose)[N])[N]
Windhund	((((Wind)[N])[V])[V],(Hund)[N])[N]
windig	((Wind)[N],(ig)[A|N.])[A]
Windjacke	((Wind)[N],(Jacke)[N])[N]
Windmacher	((Wind)[N],((mach)[V],(er)[N|V.])[N])[N]
Windmacherei	(((Wind)[N],((mach)[V],(er)[N|V.])[N])[N],(ei)[N|N.])[N]
Windmuehle	((Wind)[N],(Muehle)[N])[N]
Windmuehlenfluegel	(((Wind)[N],(Muehle)[N])[N],(n)[N|N.N],(Fluegel)[N])[N]
Windrad	(((Wind)[N])[V],(Rad)[N])[N]
Windrichtung	((Wind)[N],((richt)[V],(ung)[N|V.])[N])[N]
Windroeschen	((Wind)[N],((Rose)[N],(chen)[N|N.])[N])[N]
Windrose	((Wind)[N],(Rose)[N])[N]
Windschatten	((Wind)[N],(Schatten)[N])[N]
windschief	((Wind)[N],(schief)[A])[A]
Windschutzscheibe	((Wind)[N],(((schuetz)[V])[N],(Scheibe)[N])[N])[N]
Windstaerke	((Wind)[N],((stark)[A],(e)[N|A.])[N])[N]
windstill	((Wind)[N],(still)[A])[A]
Windstille	((windstille)[F])[N]
Windstoss	((Wind)[N],((stoss)[V])[N])[N]
Windung	(((Wind)[N])[V],(ung)[N|V.])[N]
Windzug	((Wind)[N],((zieh)[V])[N])[N]
winken	(wink)[V]
Wink	((wink)[V])[N]
winkeln	((Winkel)[N])[V]
Winkel	(Winkel)[N]
Winkeladvokat	((Winkel)[N],(Advokat)[N])[N]
Winkeleisen	((Winkel)[N],(Eisen)[N])[N]
Winkelfunktion	((Winkel)[N],(Funktion)[N])[N]
Winkelhaken	((Winkel)[N],(Haken)[N])[N]
Winkelhalbierende	((Winkel)[N],(halbierend)[F],(e)[N|NF.])[N]
winkelig	((Winkel)[N],(ig)[A|N.])[A]
Winkelmass	((Winkel)[N],(Mass)[N])[N]
Winkelmesser	((Winkel)[N],(mess)[V],(er)[N|NV.])[N]
winkelrecht	((Winkel)[N],(recht)[A])[A]
Winkelzug	((Winkel)[N],((zieh)[V])[N])[N]
Winker	((wink)[V],(er)[N|V.])[N]
Winkerflagge	(((wink)[V],(er)[N|V.])[N],(Flagge)[N])[N]
winklig	((Winkel)[N],(ig)[A|N.])[A]
winseln	(winsel)[V]
Winselei	((winsel)[V],(ei)[N|V.])[N]
wintern	((Winter)[N])[V]
Winter	(Winter)[N]
Winteranfang	((Winter)[N],(((an)[V|.V],(fang)[V])[V])[N])[N]
Winterapfel	((Winter)[N],(Apfel)[N])[N]
Winterfahrplan	((Winter)[N],((fahr)[V],(Plan)[N])[N])[N]
winterfest	((Winter)[N],(fest)[A|N.])[A]
Winterfrische	((Winter)[N],((frisch)[A],(e)[N|A.])[N])[N]
Winterfrucht	((Winter)[N],(Frucht)[N])[N]
Wintergarten	((Winter)[N],(Garten)[N])[N]
Wintergetreide	((Winter)[N],(Getreide)[N])[N]
Winterkartoffel	((Winter)[N],(Kartoffel)[N])[N]
Winterkleid	((Winter)[N],(Kleid)[N])[N]
Winterkohl	((Winter)[N],(kohl)[N])[N]
Winterlandschaft	((Winter)[N],((Land)[N],(schaft)[N|N.])[N])[N]
winterlich	((Winter)[N],(lich)[A|N.])[A]
Wintermantel	((Winter)[N],(Mantel)[N])[N]
Wintermonat	((Winter)[N],(Monat)[N])[N]
Winternacht	((Winter)[N],(Nacht)[N])[N]
Winterobst	((Winter)[N],(Obst)[N])[N]
winteroffen	((Winter)[N],(offen)[A])[A]
Winterquartier	((Winter)[N],(quartier)[N])[N]
Winterreise	((Winter)[N],((reis)[V],(e)[N|V.])[N])[N]
winters	((Winter)[N],(s)[B|N.])[B]
Wintersaat	((Winter)[N],(Saat)[N])[N]
Wintersaison	((Winter)[N],(Saison)[N])[N]
Winterschlaf	((Winter)[N],((schlaf)[V])[N])[N]
Winterschlussverkauf	((Winter)[N],(((schliess)[V])[N],(((ver)[V|.V],(kauf)[V])[V])[N])[N])[N]
Wintersemester	((Winter)[N],(Semester)[N])[N]
Wintersonnenwende	((Winter)[N],((Sonne)[N],(n)[N|N.N],((((Wind)[N])[V])[V],(e)[N|V.])[N])[N])[N]
Wintersport	((Winter)[N],(Sport)[N])[N]
wintersueber	((Winter)[N],(s)[B|N.P],(ueber)[P])[B]
Winterszeit	((Winter)[N],(s)[N|N.N],(Zeit)[N])[N]
Wintertag	((Winter)[N],(Tag)[N])[N]
wintertauglich	((Winter)[N],((taug)[V],(lich)[A|V.])[A])[A]
Winterzeit	((Winter)[N],(Zeit)[N])[N]
winzig	(winzig)[A]
Winzigkeit	((winzig)[A],(keit)[N|A.])[N]
Wipfel	(Wipfel)[N]
wipfelig	((Wipfel)[N],(ig)[A|N.])[A]
wipflig	((Wipfel)[N],(ig)[A|N.])[A]
wippen	(wipp)[V]
Wippe	((wipp)[V],(e)[N|V.])[N]
wippern	((wipp)[V],(er)[V|V.])[V]
Wipper	(Wipper)[N]
wir	(wir)[O]
wirbeln	((Wirbel)[N])[V]
Wirbel	(Wirbel)[N]
wirbelig	((Wirbel)[N],(ig)[A|N.])[A]
wirbellos	((Wirbel)[N],(los)[A|N.])[A]
Wirbellose	((wirbellose)[F])[N]
Wirbelsaeule	(((Wirbel)[N])[V],(Saeule)[N])[N]
Wirbelsturm	((Wirbel)[N],(Sturm)[N])[N]
Wirbeltier	((Wirbel)[N],(Tier)[N])[N]
Wirbelwind	((Wirbel)[N],(Wind)[N])[N]
wirblig	(((Wirbel)[N])[V],(ig)[A|V.])[A]
wirken	(wirk)[V]
Wirker	((wirk)[V],(er)[N|V.])[N]
Wirkerei	((wirk)[V],(erei)[N|V.])[N]
Wirkerin	(((wirk)[V],(er)[N|V.])[N],(in)[N|N.])[N]
Wirkkraft	((wirk)[V],(Kraft)[N])[N]
wirklich	((wirk)[V],(lich)[A|V.])[A]
Wirklichkeit	(((wirk)[V],(lich)[A|V.])[A],(keit)[N|A.])[N]
wirklichkeitsfern	((((wirk)[V],(lich)[A|V.])[A],(keit)[N|A.])[N],(s)[A|N.A],(fern)[A])[A]
Wirklichkeitsform	((((wirk)[V],(lich)[A|V.])[A],(keit)[N|A.])[N],(s)[N|N.N],(Form)[N])[N]
wirklichkeitsfremd	((((wirk)[V],(lich)[A|V.])[A],(keit)[N|A.])[N],(s)[A|N.A],(fremd)[A])[A]
wirklichkeitsgetreu	((((wirk)[V],(lich)[A|V.])[A],(keit)[N|A.])[N],(s)[A|N.A],((ge)[A|.A],(treu)[A])[A])[A]
Wirklichkeitsmensch	((((wirk)[V],(lich)[A|V.])[A],(keit)[N|A.])[N],(s)[N|N.N],(Mensch)[N])[N]
wirklichkeitsnah	((((wirk)[V],(lich)[A|V.])[A],(keit)[N|A.])[N],(s)[A|N.A],(nah)[A])[A]
Wirklichkeitssinn	((((wirk)[V],(lich)[A|V.])[A],(keit)[N|A.])[N],(s)[N|N.N],(Sinn)[N])[N]
wirksam	((wirk)[V],(sam)[A|V.])[A]
Wirksamkeit	(((wirk)[V],(sam)[A|V.])[A],(keit)[N|A.])[N]
Wirkstoff	((wirk)[V],(Stoff)[N])[N]
Wirkung	((wirk)[V],(ung)[N|V.])[N]
Wirkungsbereich	(((wirk)[V],(ung)[N|V.])[N],(s)[N|N.N],((be)[N|.N],(Reich)[N])[N])[N]
Wirkungsgrad	(((wirk)[V],(ung)[N|V.])[N],(s)[N|N.N],(Grad)[N])[N]
Wirkungskraft	(((wirk)[V],(ung)[N|V.])[N],(s)[N|N.N],(Kraft)[N])[N]
Wirkungskreis	(((wirk)[V],(ung)[N|V.])[N],(s)[N|N.N],(Kreis)[N])[N]
wirkungslos	(((wirk)[V],(ung)[N|V.])[N],(s)[A|N.x],(los)[A|Nx.])[A]
Wirkungslosigkeit	((((wirk)[V],(ung)[N|V.])[N],(s)[A|N.x],(los)[A|Nx.])[A],(ig)[N|A.x],(keit)[N|Ax.])[N]
wirkungsreich	(((wirk)[V],(ung)[N|V.])[N],(s)[A|N.A],(reich)[A])[A]
wirkungsvoll	(((wirk)[V],(ung)[N|V.])[N],(s)[A|N.A],(voll)[A])[A]
Wirkungsweise	(((wirk)[V],(ung)[N|V.])[N],(s)[N|N.B],(weise)[B])[N]
wirr	(wirr)[A]
Wirrheit	((wirr)[A],(heit)[N|A.])[N]
wirrig	((wirr)[A],(ig)[A|A.])[A]
Wirrkopf	((wirr)[A],(Kopf)[N])[N]
Wirrnis	((wirr)[A],(nis)[N|A.])[N]
Wirrsal	((wirr)[A],(sal)[N|A.])[N]
Wirrung	((wirr)[A],(ung)[N|A.])[N]
wirsch	(wirsch)[A]
Wirsing	(Wirsing)[N]
Wirsingkohl	((Wirsing)[N],(kohl)[N])[N]
wirten	((Wirt)[N])[V]
Wirt	(Wirt)[N]
Wirtel	(Wirtel)[N]
Wirtin	((Wirt)[N],(in)[N|N.])[N]
wirtlich	((Wirt)[N],(lich)[A|N.])[A]
Wirtlichkeit	(((Wirt)[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
wirtschaften	(((Wirt)[N],(schaft)[N|N.])[N])[V]
Wirtschaft	((Wirt)[N],(schaft)[N|N.])[N]
Wirtschaftler	(((Wirt)[N],(schaft)[N|N.])[N],(ler)[N|N.])[N]
wirtschaftlich	(((Wirt)[N],(schaft)[N|N.])[N],(lich)[A|N.])[A]
Wirtschaftlichkeit	((((Wirt)[N],(schaft)[N|N.])[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
Wirtschaftsabkommen	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((ab)[N|.F],(kommen)[F])[N])[N]
Wirtschaftsdirektor	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Direktor)[N])[N]
Wirtschaftsentwicklung	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(((ent)[V|.V],((Wickel)[N])[V])[V],(ung)[N|V.])[N])[N]
Wirtschaftsgebaeude	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((ge)[N|.Vx],(bau)[V],(de)[N|xV.])[N])[N]
Wirtschaftsgeld	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Geld)[N])[N]
Wirtschaftsgemeinschaft	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((gemein)[A],(schaft)[N|A.])[N])[N]
Wirtschaftsgeographie	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Geographie)[N])[N]
